Run ID,1021,,,,,,,,,,,,,,,,,,,
Run Date/Time,18/07/2014 08:52,,,,,,,,,,,,,,,,,,,
Application Name,Labcyte Echo Dose-Response,,,,,,,,,,,,,,,,,,,
Application Version,1.5.4,,,,,,,,,,,,,,,,,,,
Protocol Name,18.07.14_BRD4 and BRD9 IC50 _10mM Stock_50uM FAC top_100nl transfer_0.5% DMSO_ 4 daughters_1in2.edr,,,,,,,,,,,,,,,,,,,
User Name,ACCESS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
[DETAILS],,,,,,,,,,,,,,,,,,,,
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Source Concentration,Source Concentration Units,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Concentration,Destination Concentration Units,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source Plate[1],Customer Plate,384LDV_DMSO,B1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,C1,5.00E-05,M,BDG00021166a,Sample 2,100,100,7.899,76.961,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,B1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,D1,5.00E-05,M,BDG00021166a,Sample 2,100,100,7.799,76.961,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,B1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,D2,2.50E-05,M,BDG00021166a,Sample 2,50,50,7.749,76.961,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,B1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,C2,2.50E-05,M,BDG00021166a,Sample 2,50,50,7.699,76.961,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,B1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,C3,1.25E-05,M,BDG00021166a,Sample 2,25,25,7.674,76.961,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,B1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,D3,1.25E-05,M,BDG00021166a,Sample 2,25,25,7.649,76.961,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,B1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,D4,6.25E-06,M,BDG00021166a,Sample 2,12.5,12.5,7.637,76.961,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,B1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,C4,6.25E-06,M,BDG00021166a,Sample 2,12.5,12.5,7.624,76.961,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,B1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,C5,3.75E-06,M,BDG00021166a,Sample 2,7.5,7.5,7.617,76.961,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,B1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,D5,3.75E-06,M,BDG00021166a,Sample 2,7.5,7.5,7.609,76.961,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,B1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,D6,1.25E-06,M,BDG00021166a,Sample 2,2.5,2.5,7.607,76.961,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,B1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,C6,1.25E-06,M,BDG00021166a,Sample 2,2.5,2.5,7.604,76.961,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,C1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,E6,1.25E-06,M,BDG00021165a,Sample 3,2.5,2.5,8.554,84.575,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,C1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,F6,1.25E-06,M,BDG00021165a,Sample 3,2.5,2.5,8.552,84.575,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,C1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,F5,3.75E-06,M,BDG00021165a,Sample 3,7.5,7.5,8.544,84.575,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,C1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,E5,3.75E-06,M,BDG00021165a,Sample 3,7.5,7.5,8.537,84.575,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,C1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,E4,6.25E-06,M,BDG00021165a,Sample 3,12.5,12.5,8.524,84.575,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,C1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,F4,6.25E-06,M,BDG00021165a,Sample 3,12.5,12.5,8.512,84.575,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,C1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,F3,1.25E-05,M,BDG00021165a,Sample 3,25,25,8.487,84.575,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,C1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,E3,1.25E-05,M,BDG00021165a,Sample 3,25,25,8.462,84.575,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,C1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,E2,2.50E-05,M,BDG00021165a,Sample 3,50,50,8.412,84.575,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,C1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,F2,2.50E-05,M,BDG00021165a,Sample 3,50,50,8.362,84.575,Percent,DMSO,
Source Plate[1],Customer Plate,384LDV_DMSO,C1,0.01,M,Destination Plate[1]-01,,Proxiplate_384PS,F1,5.00E-05,M,BDG00021165a,Sample 3,100,100,8.262,84.575,Percent,DMSO,
