Run ID,1215
Run Date/Time,2014-10-21 10:17:59
Application Name,Labcyte Echo Dose-Response
Application Version,1.5.4
Protocol Name,21.10.2014_Novartis_CECR_FALZ_IC50_10mM Stock_5uM FAC 10nltransfer 1in2 .edr
User Name,ACCESS

[DETAILS]
Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Source Concentration,Source Concentration Units,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Concentration,Destination Concentration Units,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
Source Plate[1],3333486778,384LDV_DMSO,G1,0.01,M,Intermediate Sample Plate[1],,384PP_Dest,D1,0.00125,M,BDV00005302a,Sample 7,2500,2500,5.593,85.542,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,G1,0.01,M,Intermediate Sample Plate[1],,384PP_Dest,E1,0.0001562,M,BDV00005302a,Sample 7,312.5,312.5,5.281,85.542,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,G1,0.01,M,Intermediate Sample Plate[1],,384PP_Dest,F1,2E-05,M,BDV00005302a,Sample 7,40,40,5.241,85.542,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E1,0.01,M,Intermediate Sample Plate[1],,384PP_Dest,F3,2E-05,M,BDV00005304a,Sample 5,40,40,7.747,85.442,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E1,0.01,M,Intermediate Sample Plate[1],,384PP_Dest,E3,0.0001562,M,BDV00005304a,Sample 5,312.5,312.5,7.435,85.442,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,E1,0.01,M,Intermediate Sample Plate[1],,384PP_Dest,D3,0.00125,M,BDV00005304a,Sample 5,2500,2500,4.935,85.442,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,A1,0.01,M,Intermediate Sample Plate[1],,384PP_Dest,D2,0.00125,M,BDV00005303a,Sample 1,2500,2500,4.996,84.174,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,A1,0.01,M,Intermediate Sample Plate[1],,384PP_Dest,E2,0.0001562,M,BDV00005303a,Sample 1,312.5,312.5,4.683,84.174,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,A1,0.01,M,Intermediate Sample Plate[1],,384PP_Dest,F2,2E-05,M,BDV00005303a,Sample 1,40,40,4.643,84.174,Percent,DMSO,
Source Plate[1],3333486778,384LDV_DMSO,C1,0.01,M,Intermediate Sample Plate[1],,384PP_Dest,F6,2E-05,M,BDV00005307a,Sample 3,40,40,7.508,84.401,Percent,DMSO,
